date	order	month	day	year	avg_air_temp_F	max_air_temp_F	min_air_temp_F	total_precip_IN	leaf_wetness_hours	rh_hrs_at_least_90_percent	avg_wind_speed_mph	solar_rad_langleys	cumulative_precip
8_7_2016	38	8	7	2016	71.9	81.9	63.9	0	0	0	5.4	311	1.06
8_8_2016	39	8	8	2016	70.9	82.9	57.9	0	0	3	3.2	344	1.06
8_9_2016	40	8	9	2016	74.8	88.6	57	0	0	0	6.4	319	1.06
8_10_2016	41	8	10	2016	78.1	89.9	68.9	0.22	6	8	3.7	239	1.28
8_11_2016	42	8	11	2016	80.1	91.6	71	0	1	8	3.2	267	1.28
8_12_2016	43	8	12	2016	81.1	90.5	71	0	1	6	4.5	254	1.28
8_13_2016	44	8	13	2016	80.4	94.3	71.3	0.3	7	7	4.9	228	1.58
8_14_2016	45	8	14	2016	74.5	80.4	68.9	0.01	2	11	3.4	155	1.59
8_15_2016	46	8	15	2016	71.6	80.4	65.9	0	0	11	2.7	154	1.59
8_16_2016	47	8	16	2016	74.8	87.6	67.9	0.22	9	14	5.8	146	1.81
8_17_2016	48	8	17	2016	71.4	80.5	64	0	0	4	4.1	257	1.81
8_18_2016	49	8	18	2016	72	81.8	63.8	0	1	8	3.4	227	1.81
8_19_2016	50	8	19	2016	72.8	86.2	60.5	0	0	8	3.1	310	1.81
8_20_2016	51	8	20	2016	76.2	87.1	65.2	0.27	2	0	5.6	258	2.08
8_21_2016	52	8	21	2016	70.4	76	63.9	0.83	7	7	5.3	97	2.91
8_22_2016	53	8	22	2016	64.7	72.4	55.9	0	0	8	4.6	263	2.91
8_23_2016	54	8	23	2016	67.9	81.8	55.7	0	0	6	3.6	271	2.91
8_24_2016	55	8	24	2016	72.4	86.7	56.1	0	0	7	4.2	288	2.91
8_25_2016	56	8	25	2016	75	85.2	68	0.15	5	7	3.7	163	3.06
8_26_2016	57	8	26	2016	74.9	84.3	65.9	0	0	12	4.2	275	3.06
8_27_2016	58	8	27	2016	72.3	82.5	62.9	0	0	10	2.8	280	3.06
8_28_2016	59	8	28	2016	77.7	90.5	66.8	0	1	7	4.6	247	3.06
8_29_2016	60	8	29	2016	70.4	79.6	57.9	0	0	7	4.1	251	3.06
8_30_2016	61	8	30	2016	68.3	81.9	54.7	0	4	8	3.1	261	3.06
8_31_2016	62	8	31	2016	69	77.9	64.9	0.17	10	14	2.6	139	3.23
9_1_2016	63	9	1	2016	66.8	72.8	59.9	0	0	5	5.3	231	3.23
9_2_2016	64	9	2	2016	62.7	72.2	51.9	0	0	12	4.2	252	3.23
9_3_2016	65	9	3	2016	59.5	73.2	47.1	0	6	12	2.6	280	3.23
9_4_2016	66	9	4	2016	64.3	79.4	48.1	0	0	11	2.6	260	3.23
9_5_2016	67	9	5	2016	68.7	85.1	55	0	5	8	2.1	264	3.23
9_6_2016	68	9	6	2016	71.8	85.7	58	0	0	2	2.9	254	3.23
9_7_2016	69	9	7	2016	74.7	88.4	61.9	0.01	5	10	2.5	202	3.24
9_8_2016	70	9	8	2016	76.6	89.1	69.9	0.28	14	14	3.8	190	3.52
9_9_2016	71	9	9	2016	74.4	83.4	66.6	0	2	11	2.2	152	3.52
9_10_2016	72	9	10	2016	77	88.3	64	0	4	9	5.8	201	3.52
9_11_2016	73	9	11	2016	65.2	75	53.9	0.12	4	1	6.1	249	3.64
9_12_2016	74	9	12	2016	62.5	77	48.9	0	0	8	2.2	204	3.64
9_13_2016	75	9	13	2016	68.3	84	54	0	0	5	3.6	238	3.64
9_14_2016	76	9	14	2016	65.4	72.5	52.3	0	0	4	4.8	138	3.64
9_15_2016	77	9	15	2016	56.7	70.2	43.9	0	4	8	1.9	242	3.64
9_16_2016	78	9	16	2016	62	77.1	45.9	0	10	8	5.8	231	3.64
9_17_2016	79	9	17	2016	68.5	75.9	60	0.76	4	4	7.7	98	4.4
9_18_2016	80	9	18	2016	70.3	79.7	63.9	0.55	15	15	3.5	179	4.95
9_19_2016	81	9	19	2016	69.5	82.4	61.9	0.01	9	13	2	210	4.96
9_20_2016	82	9	20	2016	70.4	84	57	0	1	10	3.4	222	4.96
9_21_2016	83	9	21	2016	66.6	79	55.7	0	0	0	3.3	218	4.96
9_22_2016	84	9	22	2016	69.2	84.4	55	0	0	3	3.2	214	4.96
9_23_2016	85	9	23	2016	62.4	71.4	55.9	0	2	10	4.3	43	4.96
9_24_2016	86	9	24	2016	54	65.1	45.9	0	4	8	3.2	189	4.96
9_25_2016	87	9	25	2016	52.1	64	39.9	0	2	6	2	223	4.96
9_26_2016	88	9	26	2016	58.9	72.2	43.7	0.02	4	7	7.7	142	4.98
9_27_2016	89	9	27	2016	59.6	70.9	50.9	0	4	7	4	209	4.98
9_28_2016	90	9	28	2016	60.4	73	46	0	1	0	6.2	197	4.98
9_29_2016	91	9	29	2016	55.9	60	52.3	0.24	13	14	5.4	84	5.22
9_30_2016	92	9	30	2016	54.8	61.4	50.9	0.07	13	9	5.4	98	5.29
